UniqueID,CollegeID,PrefNumber,Gender,Caste
1115619330,147,1,BOYS,SC
7433256962,174,1,BOYS,BC
1076592646,34,1,GIRLS,BC
4981653513,36,1,GIRLS,BC
9963405323,345,1,GIRLS,SC
5196578828,187,1,GIRLS,SC
7236943884,169,1,BOYS,SC
4568514578,203,6,BOYS,BC
5294129176,344,1,GIRLS,SC
2553741338,345,1,GIRLS,SC
8598814748,179,1,GIRLS,SC
6364299293,34,1,GIRLS,BC
8476131360,179,2,GIRLS,SC
8708063264,15,1,GIRLS,BC
8132493346,21,1,BOYS,SC
9963044904,167,1,GIRLS,BC
2799403050,12,1,GIRLS,BC
8281882667,276,1,GIRLS,SC
3593175085,34,1,GIRLS,BC
9063694382,146,1,BOYS,SC
6788481071,135,1,BOYS,SC
3236757552,146,1,BOYS,ST
9118351408,36,1,GIRLS,SC
9260892206,203,1,BOYS,SC
9724264498,277,1,GIRLS,BC
4374593590,11,1,BOYS,ST
3710353464,277,1,GIRLS,SC
7955841083,344,1,GIRLS,OC
4284547132,193,1,BOYS,BC
7293665341,168,1,GIRLS,SC
2937782335,35,1,GIRLS,SC
8052703297,72,1,BOYS,BC
4353425475,10,1,BOYS,BC
6670123077,308,1,GIRLS,SC
5320900681,146,1,BOYS,MINORITY
6912573516,258,1,GIRLS,BC
4669898832,82,1,GIRLS,SC
9355362384,36,1,GIRLS,SC
6389399635,193,1,BOYS,SC
2768339028,324,2,GIRLS,SC
7323975765,119,1,GIRLS,SC
2574155859,169,1,BOYS,SC
2428403799,193,1,BOYS,SC
9621602391,28,1,BOYS,SC
4064968791,169,1,BOYS,SC
2747236442,135,1,BOYS,SC
9304342616,119,1,GIRLS,SC
1544847443,193,1,BOYS,SC
8567488604,277,1,GIRLS,SC
1846870111,37,2,GIRLS,SC
9526411361,324,2,GIRLS,SC
8001978467,135,1,BOYS,SC
8730280036,135,1,BOYS,SC
4916117605,345,2,GIRLS,SC
2973237350,135,2,BOYS,SC
3460956263,203,1,BOYS,SC
8047591529,324,3,GIRLS,SC
8108540011,31,2,BOYS,SC
1138262124,193,1,BOYS,SC
8486649965,12,1,GIRLS,SC
2875719789,243,2,GIRLS,SC
1258684527,37,2,GIRLS,SC
1961197679,119,1,GIRLS,SC
3793518701,147,1,BOYS,ST
5526978674,257,1,BOYS,BC
2909700214,187,1,GIRLS,OC
1866989689,147,1,BOYS,BC
9365782652,204,1,BOYS,SC
7119077500,119,1,GIRLS,BC
4025516159,58,1,GIRLS,BC
8562999424,193,1,BOYS,BC
6018302081,135,1,BOYS,ST
1725366407,244,1,GIRLS,BC
4508188808,179,1,GIRLS,BC
8418885769,193,1,BOYS,SC
3491397770,30,1,BOYS,SC
7890108551,345,1,GIRLS,ST
2392719499,12,1,GIRLS,BC
8312553612,193,1,BOYS,BC
4707811471,258,2,GIRLS,SC
7950532752,37,3,GIRLS,BC
8342470800,204,1,BOYS,ST
5082513554,187,1,GIRLS,BC
8654520466,82,2,GIRLS,SC
4883087508,35,2,GIRLS,BC
2577694869,344,1,GIRLS,SC
7110623378,10,1,BOYS,BC
7505641623,135,1,BOYS,SC
5992317080,37,2,GIRLS,SC
1043202199,193,1,BOYS,BC
6338085022,344,1,GIRLS,ST
8323006624,11,2,BOYS,BC
5267816611,57,1,GIRLS,ST
4708040868,167,1,GIRLS,BC
7372374182,193,2,BOYS,SC
4209770663,169,1,BOYS,BC
3283353768,257,1,BOYS,BC
7566327978,193,1,BOYS,SC
9884991659,204,1,BOYS,BC
7786201259,308,1,GIRLS,SC
1464795309,193,1,BOYS,BC
7545323694,344,1,GIRLS,SC
5587927216,256,1,BOYS,BC
6177718450,147,1,BOYS,ST
5889818803,167,3,GIRLS,SC
5639471285,146,2,BOYS,SC
6482034869,324,3,GIRLS,SC
7213187255,257,1,BOYS,BC
5527699640,57,2,GIRLS,BC
4624711864,256,1,BOYS,SC
3517382842,344,1,GIRLS,BC
1586561207,179,1,GIRLS,SC
2152104124,308,1,GIRLS,BC
7109017789,193,2,BOYS,SC
1077870778,11,1,BOYS,SC
8014102719,15,1,GIRLS,SC
5443813563,308,2,GIRLS,SC
1529839809,204,1,BOYS,ST
5507449028,167,1,GIRLS,BC
8641020103,34,3,GIRLS,SC
5169676489,21,1,BOYS,ST
1348436171,146,1,BOYS,SC
2327150801,308,1,GIRLS,SC
6826033368,34,1,GIRLS,SC
9054798987,203,1,BOYS,SC
6977749213,21,1,BOYS,BC
5701828829,14,1,GIRLS,ST
9950626015,174,2,BOYS,SC
1440841952,135,3,BOYS,SC
6935118051,308,1,GIRLS,SC
4510351587,325,1,GIRLS,MINORITY
5172527333,179,1,GIRLS,SC
2766897383,204,2,BOYS,BC
1330151659,57,3,GIRLS,BC
3633479918,308,1,GIRLS,BC
9448161518,204,2,BOYS,SC
6086492403,243,1,GIRLS,OC
2414412020,57,1,GIRLS,ST
5051547893,167,1,GIRLS,SC
8376942836,135,1,BOYS,SC
4982898935,169,1,BOYS,BC
4600299768,58,2,GIRLS,BC
7376666873,257,3,BOYS,BC
2815033593,12,2,GIRLS,SC
7471464700,31,2,BOYS,SC
3602546942,37,2,GIRLS,BC
8467513600,146,1,BOYS,ST
3131048193,345,1,GIRLS,BC
6638895361,204,1,BOYS,SC
9428664577,169,2,BOYS,BC
6472532229,168,3,GIRLS,SC
8766914821,146,2,BOYS,ST
9920774407,58,1,GIRLS,SC
3951395081,35,1,GIRLS,OC
9563668748,308,1,GIRLS,SC
9994535180,72,1,BOYS,SC
2091843856,37,1,GIRLS,MINORITY
4419485968,135,1,BOYS,ST
7178617106,345,1,GIRLS,ST
1263829266,28,1,BOYS,BC
2719940885,169,1,BOYS,SC
1231683866,57,3,GIRLS,BC
6156845339,119,1,GIRLS,SC
9257484571,,,BOYS,SC
9335210270,10,1,BOYS,SC
9776955679,146,1,BOYS,ST
4773282079,37,1,GIRLS,BC
9071657250,169,1,BOYS,ST
9941352740,13,2,GIRLS,BC
6780715305,243,1,GIRLS,SC
9532440875,34,2,GIRLS,SC
6718456110,187,1,GIRLS,BC
3194487090,276,1,GIRLS,SC
8769175864,15,1,GIRLS,BC
9572155708,119,1,GIRLS,BC
8826519869,193,2,BOYS,ST
5635244351,146,2,BOYS,SC
5593989439,179,1,GIRLS,SC
5293146433,,,GIRLS,SC
1460928834,57,2,GIRLS,BC
1335460165,308,4,GIRLS,SC
1609302342,258,1,GIRLS,BC
2929459527,203,1,BOYS,SC
7208730950,174,1,BOYS,SC
9838199112,168,1,GIRLS,BC
7099515210,325,1,GIRLS,BC
6353977671,,,GIRLS,SC
3820618058,203,2,BOYS,SC
6854967631,204,1,BOYS,SC
7163085140,135,1,BOYS,SC
3029008725,153,1,GIRLS,BC
1884717399,168,3,GIRLS,BC
5722603863,,,BOYS,BC
5847417177,324,1,GIRLS,BC
9680257370,37,2,GIRLS,SC
3766583643,324,3,GIRLS,SC
6947471710,37,3,GIRLS,SC
3429925215,167,1,GIRLS,SC
6244499808,27,1,BOYS,BC
7981597031,179,2,GIRLS,SC
3441197420,243,1,GIRLS,BC
6905135469,179,2,GIRLS,BC
2721055085,308,1,GIRLS,BC
6533611887,169,1,BOYS,SC
3468198256,344,1,GIRLS,BC
6547472751,35,3,GIRLS,BC
7228195186,244,1,GIRLS,BC
1249608051,14,1,GIRLS,SC
1837498739,135,1,BOYS,ST
9551675765,11,1,BOYS,SC
1279394162,345,1,GIRLS,SC
1494450551,174,4,BOYS,SC
7136248179,146,1,BOYS,SC
8977121654,174,1,BOYS,BC
2462089594,,,GIRLS,SC
6910312829,37,2,GIRLS,SC
6379962749,276,1,GIRLS,MINORITY
7701365121,135,1,BOYS,SC
9461727618,31,3,BOYS,SC
1518240130,174,1,BOYS,SC
2299560323,276,1,GIRLS,MINORITY
6090719620,344,1,GIRLS,SC
2870903174,14,2,GIRLS,BC
7220560263,31,1,BOYS,SC
6964183431,345,1,GIRLS,ST
2462744969,325,1,GIRLS,SC
7883194761,11,1,BOYS,ST
6249611659,135,1,BOYS,SC
1939702155,324,1,GIRLS,BC
7323386249,146,1,BOYS,SC
7036174734,179,2,GIRLS,BC
2155118991,11,3,BOYS,SC
1563296144,308,2,GIRLS,BC
7541358993,325,2,GIRLS,SC
5562466706,11,1,BOYS,SC
3201630611,169,1,BOYS,SC
8905392532,34,1,GIRLS,ST
1526464914,174,1,BOYS,SC
1344143767,308,3,GIRLS,SC
6162973081,13,5,GIRLS,SC
5892800922,135,2,BOYS,SC
5274435997,179,3,GIRLS,SC
1272054173,,,GIRLS,SC
2363294110,167,2,GIRLS,SC
5997003168,258,6,GIRLS,SC
9290482082,153,2,GIRLS,BC
6388122021,34,5,GIRLS,SC
6675202471,325,1,GIRLS,SC
3144745385,174,5,BOYS,SC
6208356778,58,9,GIRLS,SC
4409557426,344,3,GIRLS,BC
9884795314,,,GIRLS,SC
8210973106,135,1,BOYS,BC
1148158390,187,1,GIRLS,ST
9681568182,168,1,GIRLS,BC
2891809208,35,2,GIRLS,BC
2345468344,146,1,BOYS,BC
6149800379,276,1,GIRLS,SC
4604821952,14,1,GIRLS,SC
8352268737,82,7,GIRLS,SC
1657897408,308,1,GIRLS,SC
3658121668,174,3,BOYS,SC
5322047942,174,2,BOYS,SC
4390617544,99,7,GIRLS,SC
1928233417,,,GIRLS,BC
5621973449,135,1,BOYS,SC
1115423178,308,1,GIRLS,SC
1815118281,345,2,GIRLS,BC
7750844877,167,1,GIRLS,BC
8748401102,135,2,BOYS,SC
6869975502,174,2,BOYS,SC
2232779216,146,1,BOYS,OC
9312928209,135,1,BOYS,ST
7891091921,13,2,GIRLS,SC
2013299154,21,2,BOYS,SC
8791294420,258,2,GIRLS,BC
5180359120,13,5,GIRLS,BC
7825457619,193,1,BOYS,ST
7387840978,308,1,GIRLS,SC
7793082840,344,2,GIRLS,SC
6452838875,146,1,BOYS,BC
3301867997,119,1,GIRLS,BC
9708536290,179,3,GIRLS,BC
3719758307,135,2,BOYS,ST
3275882981,324,7,GIRLS,SC
5683773927,203,2,BOYS,BC
2958721511,12,1,GIRLS,ST
4571038185,257,1,BOYS,SC
5991498217,35,2,GIRLS,SC
7291732463,174,4,BOYS,SC
9938862575,81,1,GIRLS,SC
5680726511,324,1,GIRLS,SC
7610565104,135,4,BOYS,SC
3820323318,35,5,GIRLS,SC
3719823865,325,1,GIRLS,SC
2331542014,308,2,GIRLS,BC
4926996993,174,4,BOYS,BC
5410030084,257,3,BOYS,BC
3740369415,167,3,GIRLS,SC
5318115849,179,2,GIRLS,BC
2205876746,174,4,BOYS,BC
7872840204,,,BOYS,SC
8845951502,276,11,GIRLS,SC
1908507151,119,11,GIRLS,SC
5234393616,324,2,GIRLS,ST
5783716366,325,4,GIRLS,SC
9304408594,,,BOYS,SC
4624351763,37,1,GIRLS,ST
5444665877,14,1,GIRLS,SC
8293155349,168,2,GIRLS,BC
9779479063,243,2,GIRLS,BC
8264090137,11,1,BOYS,ST
4072636956,174,2,BOYS,SC
2861269534,258,1,GIRLS,BC
1741849118,179,1,GIRLS,BC
8762720799,257,5,BOYS,SC
8356725284,21,2,BOYS,SC
7105315367,277,3,GIRLS,SC
4751131175,325,1,GIRLS,ST
4504617514,135,1,BOYS,SC
9806381613,257,4,BOYS,SC
6067421748,258,18,GIRLS,SC
7397605941,179,3,GIRLS,BC
1146421817,13,6,GIRLS,SC
2870706748,81,14,GIRLS,SC
6588301884,27,1,BOYS,SC
7643890238,308,1,GIRLS,BC
7798424129,258,14,GIRLS,SC
9966715462,325,8,GIRLS,SC
6549996106,258,5,GIRLS,SC
6546162252,308,2,GIRLS,BC
4789437009,,,GIRLS,SC
3856958034,258,18,GIRLS,SC
7433126484,276,2,GIRLS,BC
2957378135,257,5,BOYS,SC
7399146071,12,1,GIRLS,ST
1055818330,34,1,GIRLS,ST
5650317915,,,GIRLS,SC
2622030431,135,2,BOYS,SC
5522522720,324,1,GIRLS,BC
7239008863,146,2,BOYS,SC
5934482021,135,2,BOYS,SC
3173745253,325,5,GIRLS,SC
9194111591,258,14,GIRLS,SC
1550451304,72,2,BOYS,SC
2835055210,135,1,BOYS,SC
8645575275,31,2,BOYS,SC
7643464301,11,1,BOYS,SC
5060493936,27,4,BOYS,SC
1465320050,135,2,BOYS,SC
2983101042,14,5,GIRLS,SC
6170051188,,,BOYS,SC
7272235637,135,5,BOYS,SC
4696146549,11,1,BOYS,SC
1935802996,135,2,BOYS,SC
9832366714,257,4,BOYS,SC
2896200319,11,11,BOYS,SC
2671575679,35,4,GIRLS,SC
8625259138,256,8,BOYS,SC
2724070020,13,7,GIRLS,SC
7230227076,256,2,BOYS,SC
4576838278,21,3,BOYS,SC
7075857033,325,5,GIRLS,SC
5807112841,256,7,BOYS,SC
4621173387,258,8,GIRLS,SC
7220494988,14,1,GIRLS,SC
3303587664,11,5,BOYS,SC
7541097102,10,3,BOYS,SC
5592056463,258,10,GIRLS,SC
9346450063,256,10,BOYS,SC
3197698707,256,6,BOYS,SC
4110877332,72,1,BOYS,SC
3269427859,30,1,BOYS,SC
1252426390,21,9,BOYS,SC
8702657174,,,BOYS,SC
5240816279,120,7,GIRLS,SC
6198264476,,,GIRLS,SC
7426933405,98,4,GIRLS,SC
1909162661,30,4,BOYS,SC
1090355878,35,3,GIRLS,SC
2701001383,10,8,BOYS,SC
7672857254,,,GIRLS,SC
8336573098,,,GIRLS,SC
9995584171,277,2,GIRLS,SC
8616444588,,,GIRLS,SC
4065428141,,,GIRLS,SC
8220115628,,,GIRLS,SC
5602968236,10,13,BOYS,SC
1240269485,10,1,BOYS,SC
8150876850,35,3,GIRLS,SC
1158742707,,,GIRLS,SC
8006795957,10,12,BOYS,SC
4413686454,20,6,BOYS,SC
6959104695,10,13,BOYS,SC
5877269175,10,12,BOYS,SC
8700527288,,,GIRLS,SC
2723316410,277,15,GIRLS,SC
4277371582,,,GIRLS,SC
1624834754,20,5,BOYS,SC
3354559171,30,3,BOYS,SC
8853684934,,,BOYS,SC
7645627080,72,16,BOYS,SC
8261632715,58,2,GIRLS,SC
4856709837,,,BOYS,SC
5487264463,,,BOYS,SC
3153134287,120,8,GIRLS,SC
8127316692,,,BOYS,SC
4076110549,,,GIRLS,SC
8480391894,168,1,GIRLS,BC
1380156119,257,1,BOYS,OC
8876982999,11,3,BOYS,BC
1928364761,31,3,BOYS,BC
6771639005,193,3,BOYS,ST
6303089373,13,15,GIRLS,SC
2618131169,13,12,GIRLS,SC
1021346530,72,4,BOYS,SC
3174105825,11,4,BOYS,BC
1941144292,13,2,GIRLS,BC
7278822116,119,1,GIRLS,BC
2599617254,193,2,BOYS,ST
5007999718,344,2,GIRLS,BC
6883541733,11,1,BOYS,BC
5818680041,,,GIRLS,SC
4646044394,58,2,GIRLS,BC
9739698923,81,1,GIRLS,BC
1760690916,28,1,BOYS,BC
1627128553,14,21,GIRLS,SC
5447975656,324,2,GIRLS,BC
7756579567,72,13,BOYS,SC
3926852336,257,2,BOYS,ST
1225261808,72,13,BOYS,SC
5499683572,135,2,BOYS,ST
6656754420,,,BOYS,BC
9059500790,14,21,GIRLS,SC
8182596343,,,GIRLS,SC
9139684088,174,5,BOYS,BC
4312007416,11,1,BOYS,BC
4947542778,276,1,GIRLS,ST
6703874814,135,2,BOYS,BC
6095962880,203,4,BOYS,BC
8816001794,,,BOYS,SC
4227957509,169,3,BOYS,BC
6362212239,72,16,BOYS,SC
6318621449,169,4,BOYS,BC
9447211785,72,13,BOYS,SC
7166558992,308,2,GIRLS,BC
5499814673,31,1,BOYS,BC
5723390740,12,1,GIRLS,OC
5768774427,27,2,BOYS,SC
9729770267,10,1,BOYS,SC
6755353379,325,1,GIRLS,BC
8773141284,21,1,BOYS,BC
2344616743,243,1,GIRLS,ST
9127002921,14,9,GIRLS,SC
2102526762,,,BOYS,SC
8914633514,258,5,GIRLS,BC
9664922412,72,16,BOYS,SC
1144587050,,,GIRLS,BC
7885783854,10,6,BOYS,SC
2064319277,,,GIRLS,SC
3139109681,20,10,BOYS,SC
2376270646,35,6,GIRLS,SC
8211792695,277,9,GIRLS,SC
7987069752,,,GIRLS,SC
7499055930,,,GIRLS,BC
8139932475,20,13,BOYS,SC
8478655292,169,1,BOYS,BC
8005223228,,,BOYS,SC
8337490756,30,15,BOYS,SC
6947063656,308,1,GIRLS,MINORITY
2402714439,27,14,BOYS,SC
1034158920,135,1,BOYS,BC
1221526343,135,3,BOYS,ST
9199584076,20,14,BOYS,SC
8852931405,14,9,GIRLS,SC
2154136398,174,3,BOYS,BC
5735514959,20,2,BOYS,BC
3915842384,,,BOYS,SC
